hcp_id,period,specialty,region,territory_id,institution_type,decile,years_in_practice,calls_last_90d,days_since_last_call,email_sent_last_90d,emails_opened_last_90d,samples_dropped_last_90d,speaker_program_attended_12m,digital_engagement_score,patient_volume_est,nbrx_last_month,nbrx_3m_avg,trx_3m_avg,competitor_share_pct,payer_mix_commercial_pct,formulary_status,campaign_wave_id,followup_call_logged_flag,territory_target_refresh_flag,responded_strict,responded_loose
101248,2025-02,Endocrinology,Central,T-C71,Group Practice,5,20.0,7,3.0,4,1,7,0,47.4,107.0,8.99,8.31,37.91,52.3,71.9,Non-preferred,W165,0.0,0.0,0,0
101847,2024-04,Primary Care,North,T-N42,Group Practice,3,7.0,3,4.0,12,3,2,0,42.4,86.0,3.68,5.69,19.25,87.6,72.3,Non-preferred,W72,0.0,0.0,0,0
100111,2025-08,Primary Care,Central,T-C25,Hospital,2,12.0,2,5.0,12,7,1,0,63.2,75.0,2.16,4.37,13.37,41.0,71.6,Preferred,W177,0.0,0.0,0,1
101305,2024-12,Primary Care,South,T-S17,Private Clinic,10,8.0,6,3.0,8,3,5,1,49.3,161.0,13.29,14.87,57.76,49.0,37.5,Not covered,W1,0.0,0.0,0,1
102088,2025-05,Cardiology,North,T-N79,Group Practice,3,7.0,4,4.0,3,1,2,0,65.1,86.0,8.64,5.69,16.24,67.6,76.5,Restricted,W212,0.0,0.0,0,0
101683,2025-08,Nephrology,Central,T-C64,Hospital,3,16.0,2,5.0,9,3,5,0,62.4,86.0,3.36,5.69,22.69,57.0,56.2,Preferred,W179,0.0,0.0,0,0
100194,2024-01,Internal Medicine,Central,T-C54,Private Clinic,8,17.0,7,3.0,10,2,5,0,50.1,139.0,11.31,12.25,36.15,47.2,78.3,Non-preferred,W132,0.0,0.0,0,0
102059,2024-02,Internal Medicine,West,T-W77,Private Clinic,9,23.0,5,3.0,3,2,5,0,58.1,150.0,13.81,13.56,44.48,42.4,74.4,Preferred,W154,0.0,0.0,0,0
101342,2024-01,Cardiology,East,T-E25,Hospital,1,11.0,4,4.0,5,1,2,0,74.1,64.0,1.77,3.06,10.4,76.5,67.3,Non-preferred,W34,1.0,1.0,1,1
100983,2025-10,Internal Medicine,West,T-W58,Group Practice,2,28.0,4,4.0,5,1,7,0,47.8,75.0,2.73,4.37,15.76,58.2,43.9,Restricted,W53,0.0,0.0,0,0
100828,2024-05,Cardiology,South,T-S32,Private Clinic,8,20.0,8,2.0,4,0,8,0,27.6,139.0,14.89,12.25,38.74,73.7,50.1,Preferred,W9,0.0,1.0,0,1
101825,2024-06,Cardiology,Central,T-C70,Private Clinic,9,18.0,7,3.0,5,2,6,0,65.2,150.0,14.15,13.56,36.63,55.0,44.9,Restricted,W190,0.0,0.0,0,0
100918,2025-03,Endocrinology,West,T-W65,Group Practice,1,10.0,2,5.0,5,1,0,0,59.0,64.0,2.35,3.06,11.77,62.5,43.9,Restricted,W187,0.0,0.0,0,0
100597,2024-10,Cardiology,North,T-N73,Hospital,3,9.0,1,6.0,6,1,1,0,60.5,86.0,7.81,5.69,18.91,61.0,70.5,Non-preferred,W109,0.0,0.0,0,0
100402,2025-07,Internal Medicine,Central,T-C34,Group Practice,6,20.0,1,6.0,6,3,0,0,37.0,118.0,8.78,9.62,19.09,84.3,63.6,Non-preferred,W11,0.0,0.0,0,0
100195,2024-04,Primary Care,East,T-E24,Private Clinic,5,1.0,5,3.0,7,4,4,0,53.2,107.0,3.42,8.31,17.68,61.2,41.9,Preferred,W141,0.0,0.0,0,1
100341,2024-02,Cardiology,West,T-W27,Hospital,7,7.0,4,4.0,5,1,6,0,45.7,129.0,10.74,10.94,35.1,58.7,66.4,Non-preferred,W61,0.0,0.0,0,1
101673,2024-01,Cardiology,East,T-E14,Group Practice,8,16.0,8,2.0,6,4,4,0,58.8,139.0,4.82,12.25,38.2,69.2,84.6,Restricted,W27,1.0,1.0,0,0
100324,2025-08,Primary Care,West,T-W68,Academic,8,16.0,3,4.0,8,3,5,0,54.5,139.0,14.67,12.25,35.53,33.9,54.3,Preferred,W4,0.0,0.0,0,0
100593,2025-06,Primary Care,North,T-N42,Private Clinic,8,1.0,10,2.0,13,3,12,1,53.6,139.0,17.58,12.25,38.62,33.9,53.9,Not covered,W1,0.0,0.0,0,1
100429,2025-07,Internal Medicine,West,T-W21,Academic,9,22.0,4,4.0,6,3,2,0,14.8,150.0,11.43,13.56,48.3,34.4,67.5,Preferred,W129,0.0,0.0,0,1
101968,2025-09,Endocrinology,South,T-S63,Private Clinic,1,15.0,1,6.0,4,2,0,0,41.3,64.0,3.57,3.06,9.41,47.0,62.2,Restricted,W45,0.0,0.0,0,0
100749,2024-12,Internal Medicine,Central,T-C61,Group Practice,6,3.0,4,4.0,5,1,1,0,38.9,118.0,7.47,9.62,26.9,69.9,45.2,Preferred,W135,0.0,1.0,0,0
102015,2025-10,Cardiology,North,T-N76,Group Practice,6,18.0,4,4.0,1,0,4,0,58.4,118.0,5.47,9.62,37.99,88.0,81.8,Not covered,W62,0.0,0.0,0,0
100847,2024-01,Nephrology,South,T-S46,Hospital,5,17.0,4,4.0,8,3,2,1,44.3,107.0,9.44,8.31,28.35,51.0,76.1,Preferred,W217,0.0,0.0,0,0
100084,2024-04,Internal Medicine,South,T-S28,Private Clinic,2,23.0,2,5.0,5,1,2,0,62.7,75.0,2.64,4.37,16.32,41.3,55.5,Restricted,W190,0.0,1.0,0,0
100913,2024-06,Cardiology,North,T-N54,Hospital,9,16.0,8,2.0,6,1,3,1,32.4,150.0,16.31,13.56,41.55,2.9,79.5,Preferred,W104,0.0,0.0,1,1
101214,2024-02,Internal Medicine,South,T-S51,Hospital,3,23.0,2,5.0,3,1,2,0,60.4,86.0,6.04,5.69,22.93,90.8,46.0,Not covered,W180,0.0,0.0,0,0
101185,2024-12,Endocrinology,East,T-E42,Group Practice,5,11.0,2,5.0,6,4,1,0,59.6,107.0,11.36,8.31,35.35,57.5,38.7,Not covered,W23,1.0,1.0,0,0
100709,2024-05,Internal Medicine,Central,T-C35,Group Practice,3,21.0,5,3.0,5,3,5,0,55.7,86.0,5.61,5.69,20.39,52.3,63.7,Not covered,W12,0.0,0.0,0,0
100143,2025-07,Endocrinology,East,T-E19,Hospital,8,8.0,7,3.0,7,3,7,0,53.9,139.0,13.7,12.25,39.59,74.0,46.1,Preferred,W70,0.0,0.0,0,1
101147,2024-02,Primary Care,West,T-W34,Group Practice,2,10.0,3,4.0,10,5,1,0,55.7,75.0,5.06,4.37,12.99,60.3,46.1,Preferred,W20,0.0,1.0,0,0
100815,2024-10,Internal Medicine,East,T-E16,Academic,9,18.0,10,2.0,2,0,7,0,44.0,150.0,12.36,13.56,49.27,18.8,38.7,Non-preferred,W116,1.0,0.0,0,0
100897,2024-06,Cardiology,West,T-W50,Group Practice,3,29.0,1,6.0,4,1,1,1,69.5,86.0,6.31,5.69,19.89,75.8,52.7,Restricted,W61,1.0,0.0,0,1
100936,2025-11,Primary Care,East,T-E16,Private Clinic,10,21.0,4,4.0,5,3,4,0,40.8,161.0,0.0,14.87,44.79,56.4,68.5,Not covered,W168,0.0,0.0,0,0
100892,2025-02,Internal Medicine,Central,T-C42,Hospital,10,8.0,13,2.0,8,4,12,1,49.1,161.0,18.1,14.87,41.78,34.7,88.5,Restricted,W12,0.0,0.0,0,1
101982,2025-11,Internal Medicine,South,T-S74,Academic,9,16.0,4,4.0,9,4,3,1,21.4,150.0,6.44,13.56,48.34,43.7,71.3,Preferred,W158,0.0,0.0,0,0
101417,2024-09,Primary Care,West,T-W50,Hospital,7,1.0,3,4.0,5,4,3,0,23.9,129.0,16.43,10.94,46.55,42.2,57.4,Preferred,W36,1.0,0.0,0,0
100868,2025-11,Primary Care,Central,T-C32,Hospital,8,27.0,3,4.0,6,0,5,1,42.0,139.0,6.45,12.25,45.46,56.1,83.9,Not covered,W39,0.0,1.0,0,0
101264,2024-04,Endocrinology,North,T-N13,Private Clinic,9,14.0,6,3.0,8,1,10,0,49.5,150.0,14.92,13.56,56.37,75.1,68.6,Preferred,W127,1.0,1.0,1,1
101520,2024-04,Primary Care,North,T-N18,Group Practice,4,11.0,4,4.0,4,2,1,0,63.8,97.0,8.85,7.0,18.59,62.1,47.8,Restricted,W86,0.0,0.0,0,0
100458,2024-12,Primary Care,East,T-E54,Academic,2,6.0,0,8.0,7,0,0,1,46.0,75.0,5.64,4.37,17.11,64.1,57.9,Non-preferred,W164,0.0,0.0,0,0
100417,2025-02,Cardiology,West,T-W78,Group Practice,5,1.0,1,6.0,7,1,1,0,62.9,107.0,10.43,8.31,26.26,90.2,75.6,Not covered,W149,0.0,0.0,0,0
100685,2025-06,Nephrology,East,T-E21,Hospital,4,13.0,4,4.0,4,1,10,0,50.8,97.0,6.37,7.0,16.28,29.8,65.8,Not covered,W165,0.0,1.0,0,0
101690,2025-09,Primary Care,North,T-N52,Private Clinic,10,32.0,3,4.0,7,2,5,0,67.6,161.0,15.93,14.87,52.16,54.3,71.3,Non-preferred,W129,0.0,0.0,0,0
101368,2024-06,Cardiology,East,T-E59,Hospital,9,20.0,11,2.0,6,4,6,0,52.5,150.0,12.09,13.56,44.53,33.7,17.4,Non-preferred,W117,0.0,0.0,0,0
101547,2024-08,Internal Medicine,West,T-W49,Group Practice,6,23.0,3,4.0,2,0,0,0,68.6,118.0,3.61,9.62,31.91,57.4,42.4,Preferred,W138,0.0,0.0,0,1
100995,2025-10,Primary Care,East,T-E22,Private Clinic,8,14.0,6,3.0,3,1,2,1,39.1,139.0,14.59,12.25,37.24,69.0,73.0,Non-preferred,W128,0.0,1.0,0,0
101457,2025-04,Cardiology,West,T-W21,Hospital,6,17.0,2,5.0,5,1,5,0,52.2,118.0,7.88,9.62,33.34,47.4,64.5,Preferred,W44,0.0,0.0,0,1
100469,2025-11,Endocrinology,North,T-N21,Private Clinic,6,11.0,2,5.0,8,1,2,0,29.2,118.0,5.0,9.62,28.5,65.6,50.6,Non-preferred,W123,0.0,0.0,0,1
101915,2025-04,Nephrology,Central,T-C13,Group Practice,2,26.0,1,6.0,8,3,0,0,48.8,75.0,5.61,4.37,14.36,32.9,60.6,Restricted,W172,0.0,0.0,0,0
101041,2025-07,Primary Care,North,T-N52,Private Clinic,4,22.0,4,4.0,6,1,4,0,58.8,97.0,7.59,7.0,19.43,22.4,78.5,Non-preferred,W47,0.0,1.0,0,0
100993,2024-11,Internal Medicine,South,T-S11,Hospital,1,7.0,2,5.0,6,2,0,0,51.3,64.0,3.6,3.06,8.8,58.8,67.3,Non-preferred,W79,0.0,0.0,0,0
102068,2024-09,Nephrology,East,T-E71,Academic,5,35.0,3,4.0,6,1,2,0,54.4,107.0,7.28,8.31,20.8,56.1,88.0,Preferred,W35,1.0,0.0,1,1
101174,2025-02,Internal Medicine,West,T-W55,Private Clinic,8,19.0,2,5.0,4,1,1,0,38.8,139.0,10.38,12.25,36.78,26.1,68.7,Restricted,W204,0.0,0.0,0,0
102043,2025-05,Endocrinology,West,T-W78,Private Clinic,6,9.0,2,5.0,6,2,1,0,43.7,118.0,11.97,9.62,33.82,66.1,84.6,Not covered,W146,0.0,0.0,0,0
101148,2025-05,Primary Care,Central,T-C36,Hospital,6,15.0,11,2.0,6,2,16,0,53.1,118.0,12.18,9.62,34.48,20.5,73.3,Not covered,W83,0.0,0.0,0,1
100028,2024-09,Primary Care,East,T-E68,Group Practice,2,20.0,1,6.0,10,3,2,0,34.9,75.0,4.97,4.37,14.19,74.5,53.9,Preferred,W214,0.0,0.0,0,0
100291,2024-04,Internal Medicine,East,T-E72,Hospital,7,24.0,4,4.0,6,0,3,0,33.5,129.0,10.14,10.94,35.45,48.5,67.2,Preferred,W173,0.0,0.0,0,1
100114,2024-05,Internal Medicine,West,T-W35,Group Practice,2,12.0,3,4.0,5,1,5,0,26.1,75.0,2.29,4.37,17.45,36.6,82.0,Preferred,W219,0.0,0.0,0,0
101840,2024-11,Endocrinology,Central,T-C23,Private Clinic,2,19.0,3,4.0,8,5,3,0,27.9,75.0,5.53,4.37,16.86,76.8,52.5,Non-preferred,W25,0.0,0.0,0,0
100052,2025-12,Internal Medicine,East,T-E67,Private Clinic,9,10.0,2,5.0,5,1,5,0,29.4,150.0,15.81,13.56,60.12,26.3,26.9,Preferred,W155,0.0,0.0,0,0
102020,2025-12,Primary Care,Central,T-C35,Hospital,3,14.0,2,5.0,8,5,4,0,45.9,86.0,5.77,5.69,15.54,84.6,36.4,Preferred,W205,0.0,0.0,0,1
101747,2025-12,Internal Medicine,Central,T-C34,Private Clinic,3,3.0,3,4.0,5,0,0,0,45.6,86.0,0.98,5.69,17.63,69.7,20.4,Preferred,W92,0.0,0.0,0,0
101376,2025-04,Internal Medicine,West,T-W27,Private Clinic,1,8.0,1,6.0,4,2,2,0,24.8,64.0,4.5,3.06,10.16,84.6,83.6,Restricted,W193,1.0,0.0,0,0
101905,2024-08,Nephrology,West,T-W36,Hospital,7,3.0,2,5.0,8,1,2,1,43.7,129.0,1.89,10.94,31.34,67.6,85.7,Restricted,W143,0.0,1.0,0,0
101204,2025-07,Endocrinology,North,T-N61,Private Clinic,6,22.0,1,6.0,9,5,0,0,25.6,118.0,6.18,9.62,29.93,26.5,69.9,Restricted,W197,0.0,0.0,0,0
101949,2025-05,Internal Medicine,Central,T-C26,Academic,2,1.0,3,4.0,5,3,3,0,81.4,75.0,3.6,4.37,14.6,25.9,75.7,Restricted,W167,0.0,1.0,0,0
101070,2025-12,Cardiology,East,T-E43,Hospital,5,30.0,15,2.0,8,3,17,0,79.0,107.0,7.64,8.31,33.92,18.3,58.5,Not covered,W42,0.0,0.0,0,0
100674,2025-01,Endocrinology,East,T-E56,Private Clinic,2,9.0,2,5.0,5,1,1,0,34.3,75.0,1.15,4.37,6.73,75.6,87.6,Preferred,W142,0.0,0.0,0,0
100464,2025-01,Primary Care,South,T-S31,Hospital,1,4.0,2,5.0,4,2,1,0,57.2,64.0,3.1,3.06,10.21,34.5,37.6,Restricted,W188,0.0,0.0,0,0
100365,2024-10,Endocrinology,South,T-S41,Academic,8,8.0,5,3.0,5,3,2,1,60.7,139.0,9.2,12.25,34.97,12.8,90.2,Not covered,W216,0.0,0.0,0,1
101774,2025-04,Primary Care,East,T-E21,Group Practice,9,9.0,10,2.0,11,5,6,0,20.7,150.0,13.36,13.56,48.88,35.0,51.6,Preferred,W15,0.0,1.0,0,0
100487,2025-02,Nephrology,West,T-W47,Group Practice,10,15.0,4,4.0,3,0,6,1,45.9,161.0,19.25,14.87,57.69,51.0,49.9,Non-preferred,W52,0.0,0.0,0,0
101500,2024-11,Cardiology,West,T-W68,Hospital,8,12.0,4,4.0,4,1,2,0,63.6,139.0,10.16,12.25,38.37,20.8,32.9,Preferred,W170,0.0,0.0,0,0
100801,2024-07,Cardiology,Central,T-C60,Group Practice,4,11.0,5,3.0,3,1,5,1,37.9,97.0,6.46,7.0,15.06,65.9,67.1,Not covered,W163,1.0,0.0,0,0
101924,2024-05,Nephrology,West,T-W47,Group Practice,4,20.0,2,5.0,8,2,3,0,54.4,97.0,6.67,7.0,21.7,34.7,45.0,Not covered,W68,0.0,1.0,0,1
101433,2025-04,Internal Medicine,West,T-W54,Group Practice,4,23.0,2,5.0,5,1,0,0,25.0,97.0,6.46,7.0,25.6,81.1,53.4,Preferred,W111,1.0,1.0,0,0
100412,2024-06,Primary Care,North,T-N37,Hospital,3,6.0,1,6.0,6,0,0,0,47.9,86.0,5.65,5.69,11.84,59.7,79.8,Preferred,W48,0.0,0.0,0,0
101824,2025-01,Cardiology,West,T-W22,Group Practice,6,1.0,2,5.0,8,2,0,0,59.3,118.0,10.33,9.62,29.43,34.5,63.9,Not covered,W46,0.0,0.0,0,0
101301,2024-09,Nephrology,East,T-E76,Academic,10,13.0,9,2.0,2,0,8,1,52.5,161.0,7.8,14.87,30.49,45.9,61.2,Non-preferred,W59,0.0,1.0,0,0
101684,2025-12,Cardiology,North,T-N40,Academic,10,14.0,6,3.0,5,2,3,0,36.9,161.0,14.18,14.87,34.99,53.0,79.3,Restricted,W195,0.0,0.0,0,1
100894,2025-08,Nephrology,West,T-W29,Group Practice,5,10.0,2,5.0,8,3,1,1,33.1,107.0,7.25,8.31,21.73,79.1,65.8,Restricted,W80,0.0,0.0,0,0
101668,2025-10,Primary Care,West,T-W29,Private Clinic,6,16.0,5,3.0,6,4,5,1,47.1,118.0,6.49,9.62,37.56,63.8,68.8,Preferred,W209,1.0,0.0,1,1
100483,2024-10,Primary Care,North,T-N47,Private Clinic,4,18.0,9,2.0,7,2,11,0,59.0,97.0,4.48,7.0,32.07,48.9,45.5,Restricted,W88,1.0,1.0,0,0
101613,2024-08,Cardiology,North,T-N59,Private Clinic,10,18.0,10,2.0,3,0,8,0,61.9,161.0,9.59,14.87,31.04,29.4,70.0,Preferred,W152,0.0,0.0,0,1
101477,2025-10,Endocrinology,East,T-E34,Private Clinic,5,11.0,4,4.0,7,2,5,0,44.4,107.0,6.4,8.31,40.39,73.0,83.5,Non-preferred,W14,0.0,0.0,0,0
100054,2024-11,Cardiology,West,T-W67,Hospital,4,11.0,4,4.0,5,0,4,0,48.6,97.0,6.17,7.0,18.85,64.5,37.1,Restricted,W197,1.0,1.0,0,0
100330,2024-07,Nephrology,Central,T-C77,Hospital,6,26.0,6,3.0,4,2,3,0,28.4,118.0,12.59,9.62,39.14,52.7,73.4,Non-preferred,W188,0.0,0.0,0,0
101196,2024-02,Internal Medicine,West,T-W61,Private Clinic,7,5.0,9,2.0,6,2,3,0,47.5,129.0,16.68,10.94,28.37,70.2,21.1,Restricted,W207,0.0,0.0,0,0
100038,2024-10,Internal Medicine,West,T-W69,Academic,6,20.0,3,4.0,7,1,2,0,42.8,118.0,13.08,9.62,34.43,64.4,57.7,Preferred,W34,0.0,0.0,0,0
100683,2024-02,Primary Care,East,T-E52,Private Clinic,1,14.0,3,4.0,5,1,4,0,63.2,64.0,1.85,3.06,11.41,20.7,60.7,Non-preferred,W188,0.0,0.0,0,0
102051,2024-05,Internal Medicine,West,T-W14,Hospital,10,12.0,3,4.0,6,1,1,0,51.0,161.0,18.41,14.87,37.46,31.9,58.0,Not covered,W216,0.0,1.0,0,1
100514,2025-05,Primary Care,Central,T-C36,Academic,7,13.0,9,2.0,8,5,7,0,69.3,129.0,9.58,10.94,24.79,28.2,64.3,Non-preferred,W97,0.0,0.0,0,0
100286,2024-12,Endocrinology,West,T-W77,Private Clinic,7,14.0,9,2.0,7,2,7,0,71.3,129.0,9.76,10.94,39.13,40.6,33.5,Preferred,W30,0.0,0.0,0,1
100823,2024-01,Cardiology,Central,T-C71,Group Practice,10,13.0,4,4.0,11,2,2,0,43.8,161.0,9.86,14.87,66.42,27.9,21.5,Non-preferred,W141,1.0,0.0,1,1
100409,2025-12,Internal Medicine,West,T-W24,Private Clinic,6,13.0,1,6.0,3,0,1,0,48.6,118.0,8.61,9.62,36.81,49.5,74.9,Non-preferred,W125,0.0,0.0,0,0
101763,2025-12,Internal Medicine,North,T-N14,Group Practice,9,12.0,4,4.0,4,1,3,0,70.9,150.0,15.11,13.56,27.61,52.5,76.8,Non-preferred,W64,1.0,1.0,1,1
101848,2024-03,Internal Medicine,West,T-W79,Academic,5,24.0,8,2.0,11,3,9,0,46.7,107.0,8.12,8.31,26.76,67.5,49.4,Not covered,W193,0.0,1.0,0,0
101706,2025-12,Primary Care,North,T-N19,Private Clinic,5,7.0,3,4.0,5,2,2,0,41.6,107.0,7.28,8.31,30.36,66.5,37.8,Preferred,W145,1.0,1.0,0,0
101583,2024-10,Endocrinology,Central,T-C57,Hospital,9,15.0,6,3.0,9,3,4,1,24.3,150.0,11.33,13.56,42.42,28.2,33.9,Restricted,W214,0.0,0.0,0,0
101933,2024-07,Primary Care,East,T-E26,Private Clinic,7,11.0,11,2.0,5,2,12,0,42.7,129.0,10.5,10.94,49.48,73.3,40.8,Preferred,W218,0.0,0.0,0,1
101571,2025-08,Cardiology,East,T-E34,Hospital,9,21.0,4,4.0,4,2,1,1,45.3,150.0,13.66,13.56,46.4,49.6,27.3,Preferred,W34,1.0,1.0,1,1
101955,2025-10,Internal Medicine,West,T-W25,Group Practice,3,2.0,2,5.0,5,0,0,0,35.3,86.0,6.94,5.69,21.34,63.6,49.8,Preferred,W218,0.0,0.0,0,0
100664,2025-08,Primary Care,North,T-N30,Private Clinic,9,16.0,4,4.0,12,5,5,1,41.6,150.0,15.19,13.56,53.79,51.2,77.0,Not covered,W37,0.0,0.0,0,0
101287,2024-07,Internal Medicine,West,T-W72,Hospital,8,6.0,5,3.0,6,2,6,0,50.2,139.0,9.01,12.25,37.19,60.5,75.0,Restricted,W51,0.0,1.0,0,0
101543,2024-12,Cardiology,North,T-N73,Group Practice,10,16.0,5,3.0,3,1,7,1,66.8,161.0,12.29,14.87,56.38,54.0,24.1,Non-preferred,W61,0.0,0.0,0,0
100821,2024-02,Endocrinology,East,T-E55,Private Clinic,3,18.0,1,6.0,6,0,1,0,43.4,86.0,5.95,5.69,17.25,45.3,71.5,Non-preferred,W89,0.0,0.0,0,0
100702,2024-09,Primary Care,West,T-W74,Private Clinic,10,14.0,5,3.0,10,3,5,0,54.1,161.0,22.44,14.87,58.3,30.2,55.8,Non-preferred,W61,0.0,0.0,0,1
100714,2025-08,Internal Medicine,North,T-N15,Private Clinic,8,13.0,5,3.0,2,0,4,0,42.4,139.0,6.87,12.25,57.12,67.0,71.5,Preferred,W188,0.0,0.0,0,1
101050,2025-03,Nephrology,South,T-S54,Hospital,7,12.0,7,3.0,3,2,4,0,41.6,129.0,6.67,10.94,38.64,9.0,46.8,Non-preferred,W146,0.0,0.0,0,0
100656,2024-07,Endocrinology,East,T-E62,Group Practice,9,14.0,5,3.0,7,5,4,0,30.4,150.0,12.69,13.56,50.37,49.9,59.1,Not covered,W22,1.0,0.0,0,0
100092,2024-06,Endocrinology,North,T-N53,Hospital,5,6.0,5,3.0,10,3,4,1,44.0,107.0,4.34,8.31,27.08,49.7,44.3,Restricted,W180,1.0,1.0,0,0
100862,2024-10,Primary Care,North,T-N39,Academic,3,9.0,0,8.0,8,2,0,0,49.5,86.0,4.19,5.69,23.1,63.7,57.6,Not covered,W39,0.0,0.0,0,0
100811,2025-09,Cardiology,East,T-E58,Academic,4,16.0,1,6.0,6,1,0,0,46.1,97.0,6.48,7.0,29.65,70.9,49.3,Non-preferred,W31,0.0,0.0,0,0
100484,2025-02,Endocrinology,West,T-W61,Group Practice,9,14.0,5,3.0,6,3,2,0,47.6,150.0,10.65,13.56,42.41,40.8,55.8,Non-preferred,W81,0.0,1.0,0,0
101967,2024-02,Cardiology,South,T-S58,Group Practice,2,1.0,0,8.0,7,1,0,0,44.1,75.0,2.83,4.37,12.5,47.8,68.6,Non-preferred,W48,0.0,0.0,0,0
100189,2024-04,Primary Care,West,T-W73,Hospital,8,24.0,4,4.0,9,3,2,1,62.8,139.0,8.86,12.25,33.15,23.7,60.3,Non-preferred,W163,0.0,0.0,0,0
101054,2025-02,Primary Care,West,T-W54,Academic,6,9.0,4,4.0,6,4,6,0,55.1,118.0,8.24,9.62,35.08,54.6,49.6,Non-preferred,W205,0.0,1.0,0,1
101336,2024-06,Internal Medicine,North,T-N76,Hospital,9,8.0,4,4.0,3,2,2,0,30.0,150.0,9.66,13.56,42.33,50.2,66.1,Non-preferred,W183,0.0,1.0,0,0
101414,2025-05,Nephrology,North,T-N60,Hospital,10,4.0,5,3.0,14,6,3,1,54.4,161.0,13.97,14.87,45.4,55.1,68.7,Non-preferred,W69,1.0,0.0,1,1
