row_id,hcp_id,period,specialty,region,territory_id,institution_type,decile,years_in_practice,calls_last_90d,days_since_last_call,email_sent_last_90d,emails_opened_last_90d,samples_dropped_last_90d,speaker_program_attended_12m,digital_engagement_score,patient_volume_est,nbrx_last_month,nbrx_3m_avg,trx_3m_avg,competitor_share_pct,payer_mix_commercial_pct,formulary_status,campaign_wave_id,followup_call_logged_flag,territory_target_refresh_flag
31,101076,2026-05,Internal Medicine,North,T-N13,Group Practice,7,23.0,6,10.0,4,1,5,0,73.0,145.0,5.48,4.57,15.87,40.0,56.7,Non-preferred,W36,,0.0
32,101316,2026-01,Nephrology,East,T-E55,Hospital,4,18.0,2,18.0,3,3,0,0,48.0,108.0,3.17,2.92,8.69,73.0,70.7,Restricted,W158,,0.0
33,101992,2026-06,Endocrinology,East,T-E65,Hospital,5,20.0,2,18.0,6,2,0,0,34.4,120.0,2.63,3.47,13.59,50.1,42.4,Preferred,W132,,0.0
34,102022,2026-01,Endocrinology,West,T-W73,Private Clinic,7,18.0,6,10.0,2,1,3,0,54.4,145.0,5.48,4.57,15.61,67.6,64.6,Preferred,W197,0.0,0.0
35,100125,2026-05,Primary Care,East,T-E75,Academic,3,22.0,1,22.0,7,5,3,0,32.9,96.0,2.31,2.37,8.14,61.9,38.9,Non-preferred,W117,,0.0
36,101743,2026-04,Cardiology,Central,T-C14,Academic,4,8.0,3,15.0,8,1,2,0,66.0,108.0,2.3,2.92,12.54,49.9,57.5,Preferred,W199,,0.0
37,101395,2026-06,Cardiology,North,T-N47,Hospital,9,33.0,8,9.0,5,2,8,0,46.2,169.0,9.65,5.66,22.19,21.8,76.8,Preferred,W32,0.0,0.0
38,100750,2026-06,Internal Medicine,West,T-W17,Hospital,4,13.0,3,15.0,11,3,5,0,43.9,108.0,2.26,2.92,10.38,86.7,46.0,Preferred,W67,,0.0
39,101987,2026-03,Primary Care,East,T-E15,Academic,9,25.0,4,13.0,12,6,6,0,56.2,169.0,8.61,5.66,26.8,49.9,26.7,Preferred,W164,,0.0
40,101367,2026-01,Internal Medicine,South,T-S50,Group Practice,10,23.0,5,11.0,10,2,3,0,54.6,181.0,4.2,6.21,21.11,56.6,72.3,Non-preferred,W184,,0.0
41,101074,2026-01,Cardiology,West,T-W67,Private Clinic,4,18.0,1,22.0,5,1,2,0,57.3,108.0,3.76,2.92,8.66,34.4,39.1,Non-preferred,W91,,0.0
42,100931,2026-06,Internal Medicine,North,T-N22,Private Clinic,2,28.0,2,18.0,4,2,2,1,41.8,84.0,1.69,1.83,4.93,41.6,37.9,Non-preferred,W10,,0.0
43,100309,2026-05,Internal Medicine,East,T-E73,Hospital,4,19.0,3,15.0,3,2,4,0,69.6,108.0,3.99,2.92,12.62,18.2,88.4,Preferred,W179,,0.0
44,101176,2026-03,Primary Care,South,T-S23,Hospital,5,22.0,2,18.0,7,2,5,0,43.0,120.0,2.16,3.47,10.02,34.3,56.7,Non-preferred,W218,,0.0
45,102216,2026-06,Internal Medicine,East,T-E78,Hospital,8,29.0,3,15.0,6,0,5,0,39.3,157.0,3.94,5.11,21.04,24.8,48.8,Preferred,W4,,1.0
46,100878,2026-03,Primary Care,South,T-S10,Hospital,10,20.0,8,9.0,6,2,9,0,81.1,181.0,6.67,6.21,18.2,51.4,53.5,Non-preferred,W17,,0.0
47,100973,2026-03,Internal Medicine,Central,T-C57,Hospital,7,7.0,3,15.0,5,0,1,0,52.8,145.0,1.99,4.57,11.33,23.0,70.2,Non-preferred,W72,,1.0
48,101764,2026-06,Internal Medicine,Central,T-C62,Private Clinic,3,11.0,1,22.0,8,6,1,0,85.1,96.0,2.41,2.37,8.91,54.1,37.9,Preferred,W43,,0.0
49,100409,2026-01,Internal Medicine,West,T-W24,Private Clinic,6,13.0,4,13.0,9,2,0,0,51.8,133.0,2.36,4.02,15.87,33.6,78.5,Preferred,W20,,0.0
50,101360,2026-06,Cardiology,East,T-E74,Hospital,1,24.0,1,22.0,7,1,2,0,49.8,72.0,0.99,1.28,5.62,29.7,65.0,Non-preferred,W207,0.0,0.0
51,102069,2026-04,Nephrology,West,T-W50,Hospital,7,12.0,3,15.0,9,6,2,0,74.7,145.0,4.8,4.57,12.44,82.0,63.0,Non-preferred,W115,0.0,0.0
52,100850,2026-06,Internal Medicine,North,T-N30,Academic,1,16.0,4,13.0,7,2,5,0,63.2,72.0,1.42,1.28,4.62,42.1,53.4,Preferred,W185,,0.0
53,102399,2026-03,Internal Medicine,Central,T-C65,Private Clinic,9,13.0,6,10.0,6,2,7,1,58.4,169.0,5.27,5.66,25.77,57.7,68.1,Preferred,W115,,0.0
54,100178,2026-05,Primary Care,North,T-N31,Group Practice,8,12.0,5,11.0,12,1,6,0,36.0,157.0,5.92,5.11,14.2,46.2,42.4,Restricted,W48,,0.0
55,100758,2026-04,Internal Medicine,North,T-N18,Hospital,10,10.0,3,15.0,10,6,4,1,40.0,181.0,5.82,6.21,23.74,29.7,84.0,Preferred,W151,,0.0
56,101353,2026-01,Internal Medicine,East,T-E63,Hospital,9,13.0,6,10.0,6,2,2,0,63.3,169.0,4.55,5.66,22.1,65.2,64.6,Preferred,W160,,0.0
57,100305,2026-01,Primary Care,East,T-E43,Private Clinic,3,21.0,2,18.0,4,0,3,0,27.9,96.0,3.64,2.37,7.62,39.7,52.1,Non-preferred,W59,0.0,0.0
58,100415,2026-05,Primary Care,North,T-N56,Group Practice,7,18.0,2,18.0,7,2,3,0,49.8,145.0,6.84,4.57,12.99,74.3,52.0,Restricted,W185,,1.0
59,100948,2026-03,Internal Medicine,North,T-N36,Private Clinic,8,1.0,6,10.0,8,0,3,0,51.2,157.0,6.54,5.11,20.6,50.1,66.5,Preferred,W208,,1.0
60,101446,2026-04,Endocrinology,North,T-N18,Hospital,8,11.0,1,22.0,7,1,2,0,54.7,157.0,5.88,5.11,16.18,23.2,61.5,Not covered,W72,,1.0
61,100936,2026-02,Primary Care,East,T-E16,Private Clinic,10,21.0,2,18.0,6,1,1,0,18.8,181.0,6.2,6.21,17.1,21.6,50.0,Restricted,W47,,1.0
62,102020,2026-02,Primary Care,Central,T-C35,Hospital,3,14.0,0,28.0,7,4,0,0,50.8,96.0,2.36,2.37,6.89,92.7,74.8,Non-preferred,W192,,0.0
63,100187,2026-02,Endocrinology,South,T-S67,Private Clinic,9,7.0,10,7.0,4,1,12,0,89.5,169.0,5.51,5.66,9.27,67.9,46.3,Preferred,W103,0.0,1.0
64,100832,2026-06,Endocrinology,West,T-W71,Private Clinic,6,14.0,2,18.0,5,1,4,0,50.3,133.0,5.38,4.02,16.26,43.9,37.7,Preferred,W162,,0.0
65,102201,2026-03,Nephrology,Central,T-C38,Private Clinic,3,24.0,1,22.0,5,1,1,0,47.1,96.0,3.15,2.37,8.4,61.7,23.3,Preferred,W67,,0.0
66,100121,2026-04,Nephrology,West,T-W28,Private Clinic,1,17.0,0,28.0,8,2,0,0,35.3,72.0,1.33,1.28,2.67,73.9,62.2,Non-preferred,W219,1.0,0.0
67,101512,2026-04,Internal Medicine,West,T-W23,Academic,9,21.0,5,11.0,2,1,6,0,33.3,169.0,6.46,5.66,25.53,59.2,48.9,Preferred,W66,,0.0
68,100526,2026-05,Internal Medicine,West,T-W57,Private Clinic,9,23.0,6,10.0,6,2,5,1,64.5,169.0,5.44,5.66,19.32,30.6,42.7,Non-preferred,W88,,0.0
69,101806,2026-05,Cardiology,East,T-E49,Academic,9,21.0,1,22.0,8,3,1,0,51.7,169.0,5.8,5.66,11.27,30.5,37.0,Preferred,W79,,0.0
70,102152,2026-06,Primary Care,North,T-N37,Hospital,9,18.0,2,18.0,3,1,3,0,51.8,169.0,5.0,5.66,26.37,38.3,29.7,Preferred,W99,,0.0
71,101826,2026-01,Endocrinology,West,T-W41,Private Clinic,8,39.0,5,11.0,7,2,4,0,47.8,157.0,4.45,5.11,15.14,65.0,59.1,Not covered,W126,,0.0
72,100281,2026-05,Endocrinology,Central,T-C47,Academic,3,10.0,3,15.0,8,2,2,0,56.2,96.0,2.42,2.37,10.33,42.4,48.8,Not covered,W8,,0.0
73,101632,2026-02,Nephrology,South,T-S75,Private Clinic,2,26.0,0,28.0,7,2,0,0,58.2,84.0,2.86,1.83,7.79,71.2,63.6,Restricted,W19,,0.0
74,102484,2026-04,Primary Care,South,T-S22,Hospital,7,9.0,2,18.0,4,1,4,0,57.4,145.0,5.39,4.57,13.28,81.3,24.7,Non-preferred,W38,,1.0
75,100793,2026-01,Primary Care,East,T-E33,Private Clinic,2,12.0,1,22.0,4,3,2,0,53.8,84.0,2.09,1.83,4.96,70.4,69.4,Preferred,W186,,0.0
76,100136,2026-01,Endocrinology,South,T-S63,Hospital,5,21.0,4,13.0,6,1,3,0,50.4,120.0,4.18,3.47,13.84,44.5,45.2,Restricted,W103,,0.0
77,100648,2026-05,Internal Medicine,Central,T-C42,Hospital,4,27.0,2,18.0,3,1,3,0,57.3,108.0,1.01,2.92,10.6,70.0,81.8,Preferred,W193,,0.0
78,101094,2026-05,Endocrinology,East,T-E35,Academic,9,17.0,0,28.0,10,2,0,0,51.4,169.0,7.46,5.66,23.89,52.2,62.5,Preferred,W205,,0.0
79,101464,2026-05,Internal Medicine,Central,T-C20,Academic,9,13.0,8,9.0,6,2,8,0,68.8,169.0,3.27,5.66,17.19,68.2,80.7,Non-preferred,W91,1.0,1.0
80,100623,2026-05,Endocrinology,East,T-E25,Hospital,8,15.0,4,13.0,7,1,6,1,40.0,157.0,6.17,5.11,16.72,44.4,45.4,Preferred,W199,,1.0
81,100592,2026-05,Cardiology,North,T-N18,Private Clinic,10,34.0,6,10.0,8,2,6,1,65.8,181.0,2.58,6.21,23.36,24.6,35.5,Non-preferred,W88,,1.0
82,100097,2026-05,Internal Medicine,East,T-E23,Academic,1,1.0,1,22.0,3,2,1,0,50.0,72.0,1.74,1.28,4.51,98.8,63.8,Non-preferred,W174,,0.0
83,101997,2026-06,Internal Medicine,North,T-N26,Hospital,4,6.0,2,18.0,2,0,4,0,61.0,108.0,2.39,2.92,10.16,63.7,47.8,Non-preferred,W171,,1.0
84,101537,2026-02,Internal Medicine,East,T-E26,Hospital,8,26.0,6,10.0,5,3,5,0,48.7,157.0,5.58,5.11,11.51,54.7,60.9,Preferred,W184,0.0,0.0
85,101240,2026-05,Primary Care,West,T-W76,Private Clinic,8,20.0,10,7.0,5,0,13,0,58.6,157.0,5.12,5.11,19.39,60.0,77.2,Preferred,W92,,0.0
86,101599,2026-03,Primary Care,West,T-W20,Academic,7,10.0,4,13.0,7,2,4,0,46.8,145.0,4.16,4.57,15.09,26.6,71.1,Non-preferred,W57,,0.0
87,101024,2026-05,Internal Medicine,West,T-W73,Hospital,4,10.0,5,11.0,2,1,4,0,44.6,108.0,4.19,2.92,8.91,39.4,56.1,Preferred,W84,0.0,1.0
88,100778,2026-01,Primary Care,South,T-S64,Hospital,3,14.0,1,22.0,6,2,0,0,28.9,96.0,1.58,2.37,5.06,46.6,32.1,Not covered,W146,,0.0
89,100051,2026-03,Cardiology,West,T-W15,Private Clinic,2,23.0,4,13.0,11,2,5,0,45.6,84.0,2.01,1.83,6.11,31.5,53.6,Not covered,W100,,0.0
90,100041,2026-03,Endocrinology,West,T-W71,Private Clinic,10,16.0,6,10.0,7,0,1,0,57.5,181.0,8.74,6.21,22.73,4.1,56.0,Preferred,W62,,0.0
91,100819,2026-05,Nephrology,South,T-S64,Private Clinic,7,16.0,7,9.0,7,3,7,0,32.2,145.0,5.48,4.57,13.79,34.4,55.8,Preferred,W103,,0.0
92,101631,2026-02,Cardiology,Central,T-C20,Hospital,5,23.0,1,22.0,7,2,1,0,50.0,120.0,4.48,3.47,16.78,57.9,68.8,Preferred,W194,,0.0
93,100092,2026-04,Endocrinology,North,T-N53,Hospital,5,6.0,5,11.0,2,1,4,1,44.4,120.0,2.41,3.47,11.97,12.6,77.8,Non-preferred,W33,,0.0
94,100374,2026-05,Internal Medicine,West,T-W70,Private Clinic,3,24.0,5,11.0,4,2,4,1,62.5,96.0,3.83,2.37,7.71,56.9,47.3,Preferred,W9,0.0,1.0
95,101672,2026-06,Internal Medicine,West,T-W49,Private Clinic,10,28.0,7,9.0,8,2,8,0,60.1,181.0,8.05,6.21,24.55,30.7,45.1,Non-preferred,W127,,0.0
96,100414,2026-03,Primary Care,North,T-N15,Academic,8,28.0,3,15.0,2,0,3,0,47.9,157.0,2.51,5.11,11.93,31.4,54.9,Restricted,W165,,0.0
97,101206,2026-01,Internal Medicine,West,T-W76,Private Clinic,1,15.0,0,28.0,6,1,0,0,22.7,72.0,1.53,1.28,4.6,43.2,82.5,Restricted,W62,,0.0
98,100648,2026-06,Internal Medicine,Central,T-C42,Hospital,4,27.0,3,15.0,8,4,1,0,31.5,108.0,3.68,2.92,9.58,68.6,29.8,Non-preferred,W134,,0.0
99,102064,2026-04,Internal Medicine,Central,T-C45,Private Clinic,2,9.0,0,28.0,5,1,0,0,53.8,84.0,2.71,1.83,7.09,84.6,73.1,Preferred,W197,,0.0
100,100257,2026-01,Internal Medicine,North,T-N37,Private Clinic,8,11.0,3,15.0,5,2,2,0,28.3,157.0,4.12,5.11,16.3,56.1,75.5,Non-preferred,W145,,0.0
101,100450,2026-03,Primary Care,West,T-W47,Academic,1,9.0,3,15.0,9,3,4,0,56.3,72.0,1.34,1.28,5.91,74.5,51.1,Preferred,W31,,1.0
102,101284,2026-01,Endocrinology,North,T-N58,Group Practice,1,18.0,2,18.0,5,1,3,0,47.2,72.0,1.14,1.28,4.59,64.4,78.7,Preferred,W145,,0.0
103,100573,2026-02,Cardiology,North,T-N13,Private Clinic,8,21.0,4,13.0,9,2,4,0,49.9,157.0,4.38,5.11,16.72,34.5,62.1,Restricted,W111,,0.0
104,101371,2026-02,Endocrinology,East,T-E32,Hospital,6,5.0,2,18.0,4,2,1,0,34.1,133.0,4.54,4.02,13.48,59.3,58.1,Non-preferred,W102,0.0,0.0
105,101847,2026-05,Primary Care,North,T-N42,Group Practice,3,7.0,2,18.0,4,0,3,0,52.6,96.0,2.59,2.37,6.24,54.3,71.0,Non-preferred,W64,,0.0
106,100154,2026-05,Primary Care,East,T-E53,Hospital,6,15.0,3,15.0,3,1,3,0,26.4,133.0,3.3,4.02,11.73,79.3,46.5,Preferred,W33,,0.0
107,101390,2026-04,Primary Care,North,T-N10,Academic,7,3.0,2,18.0,4,0,3,0,29.2,145.0,5.98,4.57,15.26,40.8,31.0,Preferred,W49,0.0,1.0
108,102259,2026-05,Primary Care,North,T-N66,Group Practice,1,4.0,1,22.0,10,3,1,0,43.2,72.0,1.17,1.28,3.82,61.4,53.9,Restricted,W124,,0.0
109,101479,2026-03,Primary Care,South,T-S54,Hospital,4,23.0,1,22.0,7,2,2,0,45.0,108.0,2.09,2.92,10.75,63.9,27.4,Not covered,W173,,0.0
110,100590,2026-05,Endocrinology,East,T-E78,Private Clinic,2,5.0,1,22.0,10,1,1,0,54.5,84.0,1.11,1.83,5.47,55.4,51.0,Non-preferred,W147,0.0,0.0
111,102039,2026-06,Endocrinology,North,T-N71,Private Clinic,3,25.0,3,15.0,6,3,6,0,60.4,96.0,0.84,2.37,9.56,90.9,21.2,Preferred,W94,,0.0
112,100379,2026-05,Internal Medicine,East,T-E71,Group Practice,8,5.0,4,13.0,6,2,5,0,38.0,157.0,5.97,5.11,19.34,41.0,30.3,Non-preferred,W144,,0.0
113,100791,2026-03,Internal Medicine,Central,T-C13,Group Practice,2,30.0,5,11.0,4,2,3,0,87.4,84.0,1.84,1.83,5.64,70.4,76.7,Restricted,W57,,1.0
114,100590,2026-06,Endocrinology,East,T-E78,Private Clinic,2,5.0,0,28.0,5,0,0,0,42.9,84.0,0.93,1.83,6.55,56.8,68.4,Non-preferred,W118,,0.0
115,102401,2026-05,Endocrinology,South,T-S76,Private Clinic,9,2.0,3,15.0,5,1,3,1,41.7,169.0,6.32,5.66,17.49,72.9,61.7,Non-preferred,W30,,0.0
116,100449,2026-03,Endocrinology,Central,T-C59,Academic,8,10.0,1,22.0,4,1,1,0,38.6,157.0,4.46,5.11,26.22,74.7,75.7,Preferred,W18,,1.0
117,100299,2026-04,Internal Medicine,North,T-N58,Private Clinic,6,18.0,4,13.0,7,3,3,1,46.7,133.0,3.75,4.02,15.58,42.0,83.3,Not covered,W127,,0.0
118,101501,2026-06,Nephrology,East,T-E29,Private Clinic,4,18.0,6,10.0,9,2,4,0,72.3,108.0,2.57,2.92,5.82,34.6,82.3,Preferred,W33,,0.0
119,101956,2026-03,Primary Care,Central,T-C63,Group Practice,9,16.0,1,22.0,6,1,1,0,33.3,169.0,3.53,5.66,14.9,25.9,56.5,Non-preferred,W195,0.0,1.0
120,101055,2026-01,Primary Care,Central,T-C35,Private Clinic,6,8.0,3,15.0,7,0,0,0,58.5,133.0,4.62,4.02,15.37,81.7,44.6,Restricted,W137,,0.0
121,101801,2026-01,Internal Medicine,East,T-E35,Hospital,3,21.0,2,18.0,11,2,1,0,25.1,96.0,2.53,2.37,8.67,34.2,64.0,Non-preferred,W56,,0.0
122,101901,2026-06,Primary Care,North,T-N67,Hospital,8,23.0,2,18.0,9,4,2,1,58.7,157.0,7.1,5.11,13.85,13.4,48.8,Preferred,W35,,1.0
123,100043,2026-04,Cardiology,South,T-S35,Private Clinic,3,14.0,2,18.0,6,1,2,0,62.2,96.0,3.06,2.37,10.92,54.6,80.5,Restricted,W110,,0.0
124,100611,2026-06,Internal Medicine,North,T-N10,Private Clinic,1,12.0,2,18.0,2,1,1,0,61.9,72.0,1.27,1.28,5.83,100.0,31.9,Preferred,W217,,1.0
125,102334,2026-02,Nephrology,Central,T-C64,Hospital,8,17.0,3,15.0,4,2,2,0,68.0,157.0,2.99,5.11,18.91,65.1,80.3,Non-preferred,W118,,1.0
126,102452,2026-03,Nephrology,North,T-N48,Hospital,7,24.0,4,13.0,5,2,4,0,73.3,145.0,6.72,4.57,18.41,67.8,53.0,Non-preferred,W193,,1.0
127,101216,2026-04,Endocrinology,West,T-W52,Group Practice,7,25.0,2,18.0,9,2,2,0,29.3,145.0,4.36,4.57,18.28,27.7,59.1,Preferred,W24,,0.0
128,100243,2026-05,Nephrology,South,T-S18,Hospital,8,18.0,7,9.0,5,1,5,0,57.7,157.0,2.45,5.11,14.78,66.6,45.8,Restricted,W73,,0.0
129,102014,2026-03,Cardiology,West,T-W44,Private Clinic,4,13.0,2,18.0,6,2,2,0,50.3,108.0,2.16,2.92,7.66,11.2,39.5,Not covered,W90,0.0,0.0
130,101333,2026-01,Primary Care,North,T-N44,Private Clinic,5,23.0,7,9.0,3,0,5,0,69.3,120.0,3.36,3.47,14.94,63.8,50.8,Preferred,W108,1.0,0.0
131,102420,2026-05,Cardiology,North,T-N18,Hospital,7,20.0,9,8.0,4,1,5,0,50.3,145.0,5.76,4.57,14.24,44.5,60.1,Restricted,W219,,0.0
132,100841,2026-06,Endocrinology,North,T-N27,Hospital,5,7.0,2,18.0,18,7,1,0,45.0,120.0,3.54,3.47,13.46,81.7,46.6,Preferred,W126,,0.0
133,102106,2026-01,Cardiology,East,T-E33,Hospital,7,22.0,3,15.0,5,1,4,0,34.7,145.0,6.42,4.57,14.09,52.1,83.9,Preferred,W167,,1.0
134,101971,2026-04,Internal Medicine,Central,T-C55,Group Practice,10,4.0,1,22.0,6,1,0,0,58.9,181.0,5.82,6.21,27.42,7.4,47.3,Non-preferred,W62,,0.0
135,100049,2026-04,Cardiology,North,T-N37,Hospital,3,16.0,4,13.0,5,3,4,0,75.0,96.0,2.86,2.37,8.75,36.8,25.7,Restricted,W12,,1.0
136,100146,2026-03,Primary Care,Central,T-C32,Hospital,6,27.0,2,18.0,3,0,0,0,70.5,133.0,4.86,4.02,10.98,76.5,74.3,Non-preferred,W71,0.0,0.0
137,101850,2026-03,Endocrinology,North,T-N65,Academic,6,15.0,0,28.0,6,2,0,0,26.3,133.0,3.08,4.02,15.23,68.7,41.0,Non-preferred,W139,,0.0
138,100817,2026-02,Endocrinology,West,T-W62,Group Practice,10,17.0,3,15.0,12,2,2,1,30.1,181.0,8.87,6.21,30.79,36.0,51.0,Restricted,W112,,1.0
139,100459,2026-06,Primary Care,West,T-W19,Academic,8,32.0,2,18.0,8,5,4,1,65.8,157.0,4.07,5.11,6.65,71.5,70.0,Non-preferred,W198,,1.0
140,101575,2026-01,Primary Care,North,T-N11,Hospital,1,1.0,0,28.0,12,4,0,0,11.4,72.0,0.81,1.28,4.32,51.3,75.9,Restricted,W127,0.0,0.0
141,100795,2026-05,Internal Medicine,East,T-E31,Group Practice,10,20.0,6,10.0,11,3,5,0,56.0,181.0,7.15,6.21,26.68,52.9,67.4,Preferred,W168,,1.0
142,101162,2026-06,Internal Medicine,West,T-W60,Group Practice,6,11.0,3,15.0,6,2,2,0,67.1,133.0,2.23,4.02,17.7,43.3,86.2,Restricted,W212,,0.0
143,102365,2026-04,Nephrology,East,T-E21,Private Clinic,9,18.0,5,11.0,10,2,4,0,36.9,169.0,5.7,5.66,18.38,42.5,74.3,Restricted,W171,,0.0
144,101234,2026-03,Internal Medicine,North,T-N30,Private Clinic,3,4.0,4,13.0,8,4,3,0,56.8,96.0,2.85,2.37,7.73,69.7,44.8,Non-preferred,W122,,0.0
145,101214,2026-04,Internal Medicine,South,T-S51,Hospital,3,23.0,1,22.0,6,3,0,0,68.0,96.0,2.39,2.37,6.37,53.1,57.3,Not covered,W123,,1.0
146,102082,2026-01,Endocrinology,West,T-W21,Private Clinic,6,20.0,2,18.0,4,1,2,0,52.9,133.0,3.72,4.02,13.42,25.4,61.9,Not covered,W120,,0.0
147,100192,2026-04,Internal Medicine,West,T-W64,Hospital,2,23.0,4,13.0,4,2,2,1,59.5,84.0,2.42,1.83,4.36,62.3,76.3,Not covered,W218,,0.0
