hcp_id,period_lag2,period_lag1,period,speaker_program_attended_12m_lag2,speaker_program_attended_12m_lag1,speaker_program_attended_12m,csv_line_lag2,csv_line_lag1,csv_line
100027,2024-06,2024-07,2024-08,0.0,1.0,0,39252.0,32167.0,11345
100027,2025-04,2025-05,2025-06,0.0,1.0,0,22033.0,44408.0,5213
100028,2025-09,2025-10,2025-11,0.0,1.0,0,9532.0,36751.0,29772
100029,2024-03,2024-04,2024-05,0.0,1.0,0,14638.0,5289.0,20133
100029,2024-08,2024-09,2024-10,0.0,1.0,0,9783.0,47971.0,34421
100030,2024-03,2024-04,2024-05,0.0,1.0,0,9969.0,22083.0,38084
100030,2025-04,2025-05,2025-06,0.0,1.0,0,1562.0,10031.0,2837
100030,2025-10,2025-11,2025-12,0.0,1.0,0,16864.0,37053.0,17261
100031,2024-02,2024-03,2024-04,0.0,1.0,0,30944.0,663.0,2262
100031,2024-07,2024-08,2024-09,0.0,1.0,0,5729.0,25427.0,13270
100031,2024-09,2024-10,2024-11,0.0,1.0,0,13270.0,10937.0,39673
100032,2024-03,2024-04,2024-05,0.0,1.0,0,46124.0,31971.0,25921
100032,2024-10,2024-11,2024-12,0.0,1.0,0,42810.0,11397.0,1605
100032,2025-01,2025-02,2025-03,0.0,1.0,0,18734.0,13450.0,8827
100033,2024-05,2024-06,2024-07,0.0,1.0,0,18934.0,20036.0,42663
100033,2024-09,2024-10,2024-11,0.0,1.0,0,46153.0,39432.0,26354
100033,2024-11,2024-12,2025-01,0.0,1.0,0,26354.0,36926.0,26080
100034,2025-04,2025-05,2025-06,0.0,1.0,0,5380.0,40250.0,13465
100035,2024-03,2024-04,2024-05,0.0,1.0,0,43330.0,16254.0,8915
100035,2024-09,2024-10,2024-11,0.0,1.0,0,37354.0,41321.0,16301
100036,2024-03,2024-04,2024-05,0.0,1.0,0,24234.0,44212.0,211
100036,2024-11,2024-12,2025-01,0.0,1.0,0,44614.0,24682.0,34293
100036,2025-10,2025-11,2025-12,0.0,1.0,0,8019.0,9848.0,11311
100037,2025-01,2025-02,2025-03,0.0,1.0,0,43474.0,32453.0,40147
100037,2025-08,2025-09,2025-10,0.0,1.0,0,18452.0,36780.0,38691
100037,2025-10,2025-11,2025-12,0.0,1.0,0,38691.0,30122.0,3739
100038,2024-11,2024-12,2025-01,0.0,1.0,0,28844.0,8264.0,33771
100039,2024-10,2024-11,2024-12,0.0,1.0,0,37577.0,16563.0,15290
100039,2025-09,2025-10,2025-11,0.0,1.0,0,1104.0,22526.0,40590
100041,2024-09,2024-10,2024-11,0.0,1.0,0,504.0,34400.0,13556
100041,2024-12,2025-01,2025-02,0.0,1.0,0,23666.0,15314.0,16108
100041,2025-05,2025-06,2025-07,0.0,1.0,0,26345.0,13215.0,21554
100042,2024-03,2024-04,2024-05,0.0,1.0,0,13983.0,20837.0,7301
100043,2024-12,2025-01,2025-02,0.0,1.0,0,26914.0,37585.0,41877
100044,2024-05,2024-06,2024-07,0.0,1.0,0,41272.0,32561.0,29938
100044,2024-09,2024-10,2024-11,0.0,1.0,0,48475.0,42646.0,41524
100045,2024-07,2024-08,2024-09,0.0,1.0,0,4223.0,35154.0,19060
100046,2024-02,2024-03,2024-04,0.0,1.0,0,21129.0,34657.0,42471
100047,2024-10,2024-11,2024-12,0.0,1.0,0,23060.0,38929.0,35774
100047,2025-02,2025-03,2025-04,0.0,1.0,0,3181.0,32555.0,25961
100048,2024-09,2024-10,2024-11,0.0,1.0,0,26027.0,29667.0,28997
100048,2025-04,2025-05,2025-06,0.0,1.0,0,44832.0,33275.0,30821
100051,2024-01,2024-02,2024-03,0.0,1.0,0,36433.0,10897.0,38920
100051,2024-07,2024-08,2024-09,0.0,1.0,0,3704.0,27146.0,2524
100051,2024-10,2024-11,2024-12,0.0,1.0,0,15887.0,2178.0,35910
100051,2025-02,2025-03,2025-04,0.0,1.0,0,47223.0,8144.0,14298
100052,2024-10,2024-11,2024-12,0.0,1.0,0,24644.0,8242.0,10113
100052,2025-01,2025-02,2025-03,0.0,1.0,0,6031.0,17478.0,12695
100052,2025-05,2025-06,2025-07,0.0,1.0,0,42506.0,2661.0,1775
100052,2025-09,2025-10,2025-11,0.0,1.0,0,28293.0,28359.0,16550
100053,2024-10,2024-11,2024-12,0.0,1.0,0,2348.0,47979.0,38108
100054,2025-08,2025-09,2025-10,0.0,1.0,0,40128.0,25022.0,42585
100055,2024-05,2024-06,2024-07,0.0,1.0,0,24710.0,1331.0,2932
100055,2024-07,2024-08,2024-09,0.0,1.0,0,2932.0,25377.0,40610
100056,2025-02,2025-03,2025-04,0.0,1.0,0,5780.0,46648.0,23778
100056,2025-08,2025-09,2025-10,0.0,1.0,0,6665.0,19972.0,36237
100057,2024-08,2024-09,2024-10,0.0,1.0,0,31146.0,4640.0,27894
100057,2025-01,2025-02,2025-03,0.0,1.0,0,46380.0,45967.0,19169
100058,2024-02,2024-03,2024-04,0.0,1.0,0,23135.0,22621.0,40926
100058,2025-07,2025-08,2025-09,0.0,1.0,0,40842.0,16569.0,15187
100059,2024-05,2024-06,2024-07,0.0,1.0,0,4448.0,2916.0,35139
100059,2024-07,2024-08,2024-09,0.0,1.0,0,35139.0,30757.0,17757
100060,2024-02,2024-03,2024-04,0.0,1.0,0,33081.0,34236.0,4783
100060,2024-11,2024-12,2025-01,0.0,1.0,0,404.0,846.0,8907
100060,2025-02,2025-03,2025-04,0.0,1.0,0,19268.0,34805.0,8123
100060,2025-06,2025-07,2025-08,0.0,1.0,0,18013.0,8875.0,19468
100060,2025-09,2025-10,2025-11,0.0,1.0,0,30906.0,35849.0,12899
100061,2024-08,2024-09,2024-10,0.0,1.0,0,19782.0,26888.0,2395
100062,2024-04,2024-05,2024-06,0.0,1.0,0,44096.0,48213.0,10877
100062,2025-05,2025-06,2025-07,0.0,1.0,0,47416.0,10300.0,6114
100062,2025-07,2025-08,2025-09,0.0,1.0,0,6114.0,20637.0,18341
100063,2024-01,2024-02,2024-03,0.0,1.0,0,31119.0,48149.0,21060
100063,2024-11,2024-12,2025-01,0.0,1.0,0,28378.0,36608.0,12806
100064,2024-05,2024-06,2024-07,0.0,1.0,0,23585.0,33161.0,27978
100064,2025-06,2025-07,2025-08,0.0,1.0,0,12625.0,27731.0,1138
100065,2025-06,2025-07,2025-08,0.0,1.0,0,31373.0,15834.0,10546
100065,2025-08,2025-09,2025-10,0.0,1.0,0,10546.0,41418.0,1335
100066,2024-01,2024-02,2024-03,0.0,1.0,0,17863.0,44237.0,40135
100066,2024-05,2024-06,2024-07,0.0,1.0,0,37541.0,555.0,20244
100066,2025-01,2025-02,2025-03,0.0,1.0,0,43160.0,37255.0,41607
100067,2024-01,2024-02,2024-03,0.0,1.0,0,10283.0,17422.0,43577
100068,2025-08,2025-09,2025-10,0.0,1.0,0,18142.0,2563.0,4118
100069,2024-02,2024-03,2024-04,0.0,1.0,0,32375.0,13257.0,10649
100071,2024-04,2024-05,2024-06,0.0,1.0,0,29451.0,26931.0,32971
100071,2024-07,2024-08,2024-09,0.0,1.0,0,28265.0,38950.0,25136
100072,2024-01,2024-02,2024-03,0.0,1.0,0,23334.0,32283.0,19659
100072,2024-03,2024-04,2024-05,0.0,1.0,0,19659.0,44030.0,22553
100072,2025-03,2025-04,2025-05,0.0,1.0,0,24212.0,340.0,39408
100072,2025-09,2025-10,2025-11,0.0,1.0,0,44128.0,40866.0,22241
100073,2024-01,2024-02,2024-03,0.0,1.0,0,40109.0,19960.0,15091
100073,2025-06,2025-07,2025-08,0.0,1.0,0,21980.0,23831.0,38570
100074,2024-12,2025-01,2025-02,0.0,1.0,0,19232.0,29744.0,6897
100074,2025-05,2025-06,2025-07,0.0,1.0,0,12048.0,30066.0,28480
100076,2024-03,2024-04,2024-05,0.0,1.0,0,40748.0,30772.0,34081
100076,2024-05,2024-06,2024-07,0.0,1.0,0,34081.0,25584.0,25254
100076,2024-10,2024-11,2024-12,0.0,1.0,0,22506.0,43798.0,3275
100076,2025-04,2025-05,2025-06,0.0,1.0,0,48296.0,1356.0,19535
100077,2024-03,2024-04,2024-05,0.0,1.0,0,41174.0,39983.0,23349
100077,2024-08,2024-09,2024-10,0.0,1.0,0,44757.0,8349.0,27327
100077,2024-12,2025-01,2025-02,0.0,1.0,0,20178.0,4888.0,46874
100078,2024-05,2024-06,2024-07,0.0,1.0,0,44684.0,24172.0,9579
100078,2024-07,2024-08,2024-09,0.0,1.0,0,9579.0,24455.0,34896
100078,2024-11,2024-12,2025-01,0.0,1.0,0,12852.0,6935.0,21659
100079,2024-07,2024-08,2024-09,0.0,1.0,0,8627.0,26361.0,48399
100079,2024-12,2025-01,2025-02,0.0,1.0,0,23542.0,14379.0,11932
100079,2025-05,2025-06,2025-07,0.0,1.0,0,19502.0,11639.0,13353
100080,2024-06,2024-07,2024-08,0.0,1.0,0,3320.0,30580.0,22448
100080,2024-08,2024-09,2024-10,0.0,1.0,0,22448.0,6304.0,48024
100080,2024-12,2025-01,2025-02,0.0,1.0,0,33885.0,20388.0,33579
100080,2025-09,2025-10,2025-11,0.0,1.0,0,24032.0,47689.0,19003
100081,2024-05,2024-06,2024-07,0.0,1.0,0,4689.0,13627.0,28056
100081,2024-09,2024-10,2024-11,0.0,1.0,0,14487.0,37749.0,43422
100081,2025-01,2025-02,2025-03,0.0,1.0,0,11646.0,18942.0,41372
100082,2025-01,2025-02,2025-03,0.0,1.0,0,25342.0,45976.0,18838
100082,2025-04,2025-05,2025-06,0.0,1.0,0,46819.0,6883.0,40840
100082,2025-08,2025-09,2025-10,0.0,1.0,0,41294.0,47905.0,17316
100083,2024-01,2024-02,2024-03,0.0,1.0,0,21836.0,5020.0,23623
100083,2024-05,2024-06,2024-07,0.0,1.0,0,45506.0,34627.0,11483
100083,2025-06,2025-07,2025-08,0.0,1.0,0,21422.0,8542.0,22904
100085,2024-05,2024-06,2024-07,0.0,1.0,0,39968.0,2371.0,44593
100085,2024-11,2024-12,2025-01,0.0,1.0,0,34446.0,30141.0,35455
100085,2025-01,2025-02,2025-03,0.0,1.0,0,35455.0,40209.0,39090
100086,2024-02,2024-03,2024-04,0.0,1.0,0,38278.0,25216.0,17263
100086,2024-11,2024-12,2025-01,0.0,1.0,0,41075.0,1286.0,15858
100086,2025-08,2025-09,2025-10,0.0,1.0,0,463.0,42441.0,40341
100087,2024-03,2024-04,2024-05,0.0,1.0,0,45616.0,24666.0,11791
100087,2024-05,2024-06,2024-07,0.0,1.0,0,11791.0,3159.0,20616
100087,2025-02,2025-03,2025-04,0.0,1.0,0,1320.0,42106.0,44730
100087,2025-05,2025-06,2025-07,0.0,1.0,0,6891.0,48459.0,47721
100088,2025-09,2025-10,2025-11,0.0,1.0,0,30278.0,34869.0,40425
100089,2024-09,2024-10,2024-11,0.0,1.0,0,19800.0,35103.0,4712
100090,2024-04,2024-05,2024-06,0.0,1.0,0,17436.0,46041.0,23569
100090,2024-08,2024-09,2024-10,0.0,1.0,0,35332.0,500.0,31814
100092,2024-05,2024-06,2024-07,0.0,1.0,0,14498.0,133.0,36781
100092,2025-09,2025-10,2025-11,0.0,1.0,0,43457.0,12569.0,9458
100093,2024-10,2024-11,2024-12,0.0,1.0,0,40572.0,47810.0,33899
100093,2025-01,2025-02,2025-03,0.0,1.0,0,15781.0,44942.0,32029
100093,2025-07,2025-08,2025-09,0.0,1.0,0,36296.0,2609.0,21034
100093,2025-09,2025-10,2025-11,0.0,1.0,0,21034.0,13042.0,45089
100094,2025-10,2025-11,2025-12,0.0,1.0,0,22594.0,7403.0,17084
100095,2024-02,2024-03,2024-04,0.0,1.0,0,43564.0,41663.0,43852
100095,2024-10,2024-11,2024-12,0.0,1.0,0,23968.0,11289.0,29124
100095,2025-02,2025-03,2025-04,0.0,1.0,0,19038.0,40395.0,46883
100096,2024-05,2024-06,2024-07,0.0,1.0,0,34815.0,38154.0,14464
100096,2024-08,2024-09,2024-10,0.0,1.0,0,26652.0,35686.0,19058
100098,2024-05,2024-06,2024-07,0.0,1.0,0,42690.0,47640.0,42332
100098,2024-10,2024-11,2024-12,0.0,1.0,0,2597.0,41136.0,8830
100098,2025-07,2025-08,2025-09,0.0,1.0,0,4850.0,32597.0,21868
100098,2025-09,2025-10,2025-11,0.0,1.0,0,21868.0,32562.0,14198
100101,2024-06,2024-07,2024-08,0.0,1.0,0,47770.0,27888.0,39882
100102,2025-01,2025-02,2025-03,0.0,1.0,0,22121.0,30590.0,31714
100102,2025-04,2025-05,2025-06,0.0,1.0,0,41950.0,15156.0,10672
100102,2025-07,2025-08,2025-09,0.0,1.0,0,921.0,37176.0,42199
100103,2024-04,2024-05,2024-06,0.0,1.0,0,19130.0,11995.0,12056
100103,2025-06,2025-07,2025-08,0.0,1.0,0,2748.0,48016.0,7143
100104,2024-01,2024-02,2024-03,0.0,1.0,0,31095.0,16324.0,4670
100104,2024-06,2024-07,2024-08,0.0,1.0,0,31869.0,267.0,19653
100104,2024-08,2024-09,2024-10,0.0,1.0,0,19653.0,25275.0,43394
100104,2025-04,2025-05,2025-06,0.0,1.0,0,9865.0,10339.0,12173
100104,2025-08,2025-09,2025-10,0.0,1.0,0,30367.0,32461.0,5761
100104,2025-10,2025-11,2025-12,0.0,1.0,0,5761.0,40164.0,34489
100105,2024-02,2024-03,2024-04,0.0,1.0,0,14299.0,20239.0,25792
100105,2025-02,2025-03,2025-04,0.0,1.0,0,3688.0,3452.0,40839
100105,2025-06,2025-07,2025-08,0.0,1.0,0,19052.0,4235.0,17785
100105,2025-09,2025-10,2025-11,0.0,1.0,0,1004.0,4583.0,2072
100106,2025-07,2025-08,2025-09,0.0,1.0,0,28168.0,28415.0,19070
100107,2024-01,2024-02,2024-03,0.0,1.0,0,6416.0,47501.0,8292
100107,2024-10,2024-11,2024-12,0.0,1.0,0,675.0,21342.0,360
100108,2024-06,2024-07,2024-08,0.0,1.0,0,12562.0,13804.0,21600
100108,2024-08,2024-09,2024-10,0.0,1.0,0,21600.0,23255.0,19050
100108,2024-12,2025-01,2025-02,0.0,1.0,0,34955.0,5653.0,9429
100109,2025-03,2025-04,2025-05,0.0,1.0,0,3585.0,10512.0,46763
100110,2024-12,2025-01,2025-02,0.0,1.0,0,45109.0,17342.0,18159
100111,2025-06,2025-07,2025-08,0.0,1.0,0,38576.0,12076.0,23
100112,2025-04,2025-05,2025-06,0.0,1.0,0,23369.0,18415.0,17382
100113,2024-02,2024-03,2024-04,0.0,1.0,0,25587.0,3701.0,37179
100113,2024-07,2024-08,2024-09,0.0,1.0,0,389.0,19321.0,22587
100113,2024-12,2025-01,2025-02,0.0,1.0,0,19031.0,41030.0,17822
100113,2025-05,2025-06,2025-07,0.0,1.0,0,35266.0,13303.0,33737
100115,2024-03,2024-04,2024-05,0.0,1.0,0,4029.0,35670.0,30825
100115,2025-01,2025-02,2025-03,0.0,1.0,0,38896.0,40502.0,27865
100115,2025-03,2025-04,2025-05,0.0,1.0,0,27865.0,30496.0,4578
100115,2025-05,2025-06,2025-07,0.0,1.0,0,4578.0,4212.0,18474
100115,2025-07,2025-08,2025-09,0.0,1.0,0,18474.0,2470.0,19187
100116,2024-07,2024-08,2024-09,0.0,1.0,0,15345.0,37796.0,46928
100117,2024-08,2024-09,2024-10,0.0,1.0,0,16354.0,36390.0,23191
100117,2025-02,2025-03,2025-04,0.0,1.0,0,43214.0,45768.0,29788
100117,2025-04,2025-05,2025-06,0.0,1.0,0,29788.0,47012.0,14881
100118,2025-04,2025-05,2025-06,0.0,1.0,0,17625.0,23431.0,40822
100118,2025-06,2025-07,2025-08,0.0,1.0,0,40822.0,23618.0,25175
100119,2024-02,2024-03,2024-04,0.0,1.0,0,45882.0,22111.0,48439
100119,2024-04,2024-05,2024-06,0.0,1.0,0,48439.0,46270.0,26116
100119,2025-08,2025-09,2025-10,0.0,1.0,0,42080.0,2247.0,39746
100120,2024-08,2024-09,2024-10,0.0,1.0,0,26937.0,14074.0,22320
100120,2024-10,2024-11,2024-12,0.0,1.0,0,22320.0,680.0,26584
100120,2025-09,2025-10,2025-11,0.0,1.0,0,43889.0,10312.0,6658
100122,2025-07,2025-08,2025-09,0.0,1.0,0,4753.0,15358.0,38239
100123,2024-07,2024-08,2024-09,0.0,1.0,0,10326.0,4835.0,38839
100123,2024-11,2024-12,2025-01,0.0,1.0,0,41058.0,10022.0,23979
100124,2025-04,2025-05,2025-06,0.0,1.0,0,5175.0,44370.0,16168
100126,2024-09,2024-10,2024-11,0.0,1.0,0,32193.0,29215.0,46915
100127,2025-06,2025-07,2025-08,0.0,1.0,0,40489.0,38497.0,37018
100128,2024-04,2024-05,2024-06,0.0,1.0,0,26380.0,9415.0,45590
100128,2024-07,2024-08,2024-09,0.0,1.0,0,10907.0,36857.0,36819
100128,2025-01,2025-02,2025-03,0.0,1.0,0,18889.0,40532.0,37722
100128,2025-05,2025-06,2025-07,0.0,1.0,0,43600.0,12878.0,44570
100128,2025-07,2025-08,2025-09,0.0,1.0,0,44570.0,42958.0,1675
100128,2025-10,2025-11,2025-12,0.0,1.0,0,46239.0,36794.0,28925
100129,2024-05,2024-06,2024-07,0.0,1.0,0,11234.0,44579.0,24271
100129,2025-06,2025-07,2025-08,0.0,1.0,0,36164.0,33312.0,30436
100130,2024-08,2024-09,2024-10,0.0,1.0,0,42302.0,4441.0,21256
100130,2025-02,2025-03,2025-04,0.0,1.0,0,3698.0,11423.0,34324
100130,2025-10,2025-11,2025-12,0.0,1.0,0,17861.0,28626.0,15768
100131,2024-02,2024-03,2024-04,0.0,1.0,0,35231.0,47556.0,33598
100131,2024-07,2024-08,2024-09,0.0,1.0,0,37387.0,14262.0,32233
100131,2024-09,2024-10,2024-11,0.0,1.0,0,32233.0,47943.0,15681
100131,2024-11,2024-12,2025-01,0.0,1.0,0,15681.0,25348.0,17546
100132,2024-03,2024-04,2024-05,0.0,1.0,0,16650.0,36994.0,31088
100134,2025-03,2025-04,2025-05,0.0,1.0,0,37098.0,29024.0,3554
100134,2025-07,2025-08,2025-09,0.0,1.0,0,11140.0,21942.0,24292
100135,2024-08,2024-09,2024-10,0.0,1.0,0,4761.0,24196.0,36574
100136,2024-01,2024-02,2024-03,0.0,1.0,0,623.0,27044.0,5714
100136,2024-03,2024-04,2024-05,0.0,1.0,0,5714.0,14858.0,15967
100137,2024-10,2024-11,2024-12,0.0,1.0,0,11231.0,4121.0,28588
100137,2025-03,2025-04,2025-05,0.0,1.0,0,29868.0,197.0,6603
100138,2024-02,2024-03,2024-04,0.0,1.0,0,42255.0,31654.0,9240
100138,2024-05,2024-06,2024-07,0.0,1.0,0,12501.0,19166.0,29484
100138,2024-08,2024-09,2024-10,0.0,1.0,0,11406.0,14316.0,24797
100138,2024-10,2024-11,2024-12,0.0,1.0,0,24797.0,4592.0,24771
100138,2024-12,2025-01,2025-02,0.0,1.0,0,24771.0,37350.0,19754
100138,2025-03,2025-04,2025-05,0.0,1.0,0,39864.0,1466.0,25250
100138,2025-05,2025-06,2025-07,0.0,1.0,0,25250.0,2753.0,43072
100139,2024-02,2024-03,2024-04,0.0,1.0,0,38089.0,394.0,38881
100139,2024-09,2024-10,2024-11,0.0,1.0,0,31506.0,23847.0,8485
100140,2024-12,2025-01,2025-02,0.0,1.0,0,17227.0,44574.0,23488
100141,2024-02,2024-03,2024-04,0.0,1.0,0,13069.0,13838.0,45935
100141,2024-08,2024-09,2024-10,0.0,1.0,0,24289.0,25062.0,44190
100143,2024-02,2024-03,2024-04,0.0,1.0,0,47300.0,13030.0,48257
100143,2024-04,2024-05,2024-06,0.0,1.0,0,48257.0,14834.0,25080
100143,2024-08,2024-09,2024-10,0.0,1.0,0,28761.0,39868.0,45093
100143,2025-05,2025-06,2025-07,0.0,1.0,0,34476.0,18104.0,51
100143,2025-08,2025-09,2025-10,0.0,1.0,0,9946.0,18606.0,31962
100144,2024-09,2024-10,2024-11,0.0,1.0,0,32628.0,21184.0,7812
100144,2025-04,2025-05,2025-06,0.0,1.0,0,17286.0,23186.0,9718
100144,2025-06,2025-07,2025-08,0.0,1.0,0,9718.0,17063.0,14854
100145,2024-03,2024-04,2024-05,0.0,1.0,0,25257.0,32050.0,8152
100145,2024-11,2024-12,2025-01,0.0,1.0,0,4483.0,32374.0,42018
100145,2025-09,2025-10,2025-11,0.0,1.0,0,5732.0,47806.0,22460
100146,2024-08,2024-09,2024-10,0.0,1.0,0,35503.0,36555.0,22584
100146,2024-12,2025-01,2025-02,0.0,1.0,0,35882.0,40605.0,3546
100146,2025-03,2025-04,2025-05,0.0,1.0,0,2295.0,20317.0,44340
100148,2024-01,2024-02,2024-03,0.0,1.0,0,47209.0,34853.0,32169
100148,2024-04,2024-05,2024-06,0.0,1.0,0,20681.0,5308.0,18286
100148,2024-06,2024-07,2024-08,0.0,1.0,0,18286.0,7464.0,29361
100148,2024-09,2024-10,2024-11,0.0,1.0,0,6059.0,26858.0,7473
100148,2025-03,2025-04,2025-05,0.0,1.0,0,33339.0,12418.0,8718
100148,2025-06,2025-07,2025-08,0.0,1.0,0,35277.0,33045.0,45185
100148,2025-10,2025-11,2025-12,0.0,1.0,0,345.0,47204.0,23280
100149,2025-10,2025-11,2025-12,0.0,1.0,0,15328.0,34911.0,27788
100150,2024-07,2024-08,2024-09,0.0,1.0,0,26004.0,36354.0,15806
100150,2024-12,2025-01,2025-02,0.0,1.0,0,36585.0,6971.0,29935
100150,2025-02,2025-03,2025-04,0.0,1.0,0,29935.0,7667.0,30797
100150,2025-05,2025-06,2025-07,0.0,1.0,0,29347.0,32349.0,27874
100151,2024-02,2024-03,2024-04,0.0,1.0,0,26710.0,14014.0,12764
100151,2024-06,2024-07,2024-08,0.0,1.0,0,2648.0,11298.0,24273
100151,2025-04,2025-05,2025-06,0.0,1.0,0,11507.0,16516.0,19620
100151,2025-06,2025-07,2025-08,0.0,1.0,0,19620.0,41507.0,12545
100152,2024-04,2024-05,2024-06,0.0,1.0,0,22674.0,26268.0,20259
100152,2024-07,2024-08,2024-09,0.0,1.0,0,22977.0,9494.0,44814
100152,2025-02,2025-03,2025-04,0.0,1.0,0,20718.0,28727.0,38760
100152,2025-04,2025-05,2025-06,0.0,1.0,0,38760.0,36779.0,28201
100152,2025-06,2025-07,2025-08,0.0,1.0,0,28201.0,12758.0,24617
100153,2024-10,2024-11,2024-12,0.0,1.0,0,28642.0,32443.0,29863
100153,2025-04,2025-05,2025-06,0.0,1.0,0,40899.0,13028.0,229
100154,2024-10,2024-11,2024-12,0.0,1.0,0,12357.0,41193.0,23245
100155,2024-01,2024-02,2024-03,0.0,1.0,0,44152.0,21520.0,20542
100155,2025-01,2025-02,2025-03,0.0,1.0,0,24501.0,8824.0,28743
100156,2025-04,2025-05,2025-06,0.0,1.0,0,39688.0,21603.0,26459
100156,2025-07,2025-08,2025-09,0.0,1.0,0,351.0,39485.0,19670
100157,2024-09,2024-10,2024-11,0.0,1.0,0,268.0,36756.0,15810
100158,2024-01,2024-02,2024-03,0.0,1.0,0,20569.0,33758.0,43766
100158,2024-11,2024-12,2025-01,0.0,1.0,0,9305.0,18885.0,47139
100159,2024-09,2024-10,2024-11,0.0,1.0,0,8291.0,22032.0,30661
100159,2024-12,2025-01,2025-02,0.0,1.0,0,29903.0,29955.0,30309
